Регион,Дата,Наменование ЖК,Рацион,Масляная,Капроновая,Каприловая,Каприновая,Деценовая,Лауриновая,Миристиновая,Миристолеиновая,Пальмитиновая,Пальмитолеиновая,Стеариновая,Олеиновая,Линолевая,Линоленовая,Арахиновая,Бегеновая,Прочие,Value_0,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8,Value_9,Value_10,Value_11,Value_12,Value_13,Value_14,Value_15,Value_16,Value_17
СевНива,2025-03-19,"ЖК Семено-Макарово
",Семено-макарово_Д1_19.03.2025 _СНБ,3.05,2.02,1.28,3.34,0.26,4.19,11.49,1.15,33.48,2.41,7.24,21.54,2.56,0.4,0.1,"<0,05",-,"7,3694","16,6482","29,0854","25,1143","15,3334","16,5945","6,5216","6,4498","22,9667","8,1229","46,4800","4,0024","3,3446","7,4784","0,7416","0,3762","0,3639","1,4216"
СевНива,2025-03-19,ЖК Старое Резяпкино,Д1_Старое резяпкино_19.03.25_V2_СНС,2.79,1.92,1.26,3.38,0.27,4.41,11.73,1.25,34.47,2.4,6.3,20.39,2.89,0.45,0.1,"<0,05",-,"16,6616","16,9554","27,9095","15,3028","6,4230","6,4658","4,9484","29,2255","6,2401","43,5460","4,1424","3,4360","7,4456","0,8107","0,4036","0,3494","1,2983","0,4319"
Ока,2025-04-02,ЖК Авангард,Отчет_ОМ Север ЖК Аванград Д1 02.04.2025_ОМС,3.13,2.12,1.37,3.46,0.27,4.23,11.53,1.13,30.79,2.13,8.69,23.58,2.57,0.39,0.13,"<0,05",-,"16,2869","37,2475","6,7789","27,9056","19,5125","7,7626","6,6286","27,5681","5,6288","43,2301","4,7735","3,4556","7,4534","0,7588","0,3969","0,3671","1,5616","0,5305"
Ока,2025-04-02,ЖК Нестерово,Отчет_ОМ Север ЖК Нестерово Д1 02.04.2025_ОМС,3.09,2.03,1.29,3.21,0.25,3.91,11.1,1.1,29.97,2.16,8.98,25.18,2.66,0.39,0.13,"<0,05",-,"16,8867","35,9606","7,3116","26,6524","18,7023","7,2869","6,9210","28,0427","4,9429","44,0383","4,2333","3,4116","7,8405","0,7644","0,4174","0,3794","1,6333","0,5299"
Ока,2025-04-02,ЖК Подболотье,Отчет_ОМ Север ЖК Подболотье Д1 02.04.2025_ОМС,3.05,2.07,1.31,3.33,0.25,4.14,11.02,1.07,32.12,2.31,8.24,23.38,2.61,0.37,0.11,"<0,05",-,"16,7673","36,1343","6,9045","26,8925","18,7012","6,9595","6,6780","28,3492","4,2549","43,4009","4,5937","3,6566","7,9951","0,8364","0,4307","0,3861","1,6258","0,5321"
ЭНА,2025-02-25,ЖК Песковатка,Рацион Д1 ЖК Песковатка 25.02.25_ЭНАС,3.27,2.15,1.33,3.29,0.27,4.0,11.2,1.04,34.28,2.16,8.35,21.17,2.32,0.47,0.12,"<0,05",-,"16,8200","26,8216","17,3273","5,9604","7,9339","25,0683","7,6218","43,8407","3,6252","7,8462","0,8874","0,3788","0,3841","1,6326","17,1352","58,8000","2,1757","7,3664"
ЭНА,2025-06-26,ЖК Песковатка,Рацион Д1 ЖК Песковатка 26.06.25_ЭНАС,3.26,2.21,1.31,3.14,0.24,3.82,10.93,1.09,33.3,2.23,8.66,22.19,2.5,0.39,0.12,"<0,05",-,"17,0501","26,5659","16,9640","6,5597","7,3810","25,4315","7,6160","44,1279","3,5641","7,6827","0,8627","0,3840","0,3787","1,6534","17,4578","60,0000","2,0604","7,0691"
ЭНА,2025-02-25,ЖК Петровское,Отчет_Д1 ЖК Петровское 25.02.2025_ЭНАПБ,3.17,2.09,1.3,3.27,0.28,4.03,11.26,1.13,32.67,2.24,8.33,22.6,2.44,0.44,0.11,"<0,05",-,"16,6871","26,2879","25,8385","16,6558","6,7465","17,1304","6,5440","7,3711","11,5054","8,4604","7,3160","45,5433","4,0814","3,4453","7,5795","0,8023","0,3734","0,3690"
ЭНА,2025-05-21,ЖК Петровское,Отчет_Д1 ЖК Петровское 21.05.2025_ЭНАПБ,3.58,2.37,1.38,3.33,0.24,4.0,11.11,1.04,33.53,2.21,8.12,21.45,2.61,0.38,0.1,"<0,05",-,"16,5430","26,4192","25,2697","15,9677","6,4840","16,4412","5,9161","7,4132","11,5645","8,6787","7,2080","46,0741","4,1000","3,4615","7,7430","0,8825","0,3749","0,3818"
ЭНА,2025-03-12,ЖК Петропавловка,ЖК Петропавловка Д1 (КК-11) 12.03.25_ЭНАВ,3.04,2.1,1.36,3.49,0.31,4.35,11.59,1.17,31.17,2.1,8.48,22.76,2.63,0.46,0.14,"<0,05",-,"39,00","61,00","7,37","11,50","16,77","6,11","6,43","26,49","26,96","16,93","5,87","5,84","17,46","7,43","33,92","44,04","4,35","3,60"
